"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"11750","Sc_g11254: protein IQ-DOMAIN 1-like isoform X1","Sc_g11254","","","",335
"11751","Sc_g11255: protein IQ-DOMAIN 1-like isoform X1","Sc_g11255","","protein binding","",309
"11752","Sc_g11256: TMV resistance protein N-like","Sc_g11256","","protein binding, organic cyclic compound binding, heterocyclic compound binding"," signal transduction",1455
"11753","Sc_g11257: uncharacterized protein LOC112294081 isoform X2","Sc_g11257","membrane","","",435
"11754","Sc_g11258: flavonoid 3',5'-hydroxylase","Sc_g11258","","iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding"," oxidation-reduction process",831
"11755","Sc_g11259: peptidyl-prolyl cis-trans isomerase CYP19-3","Sc_g11259",""," peptidyl-prolyl cis-trans isomerase activity","protein peptidyl-prolyl isomerization",453
"11756","Sc_g11260: cytochrome P450 CYP82D47-like","Sc_g11260","","iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding"," oxidation-reduction process",222
"11757","Sc_g11261: flavonoid 3'-monooxygenase","Sc_g11261","","iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding"," oxidation-reduction process",711
"11758","Sc_g11262: uncharacterized protein LOC112286965","Sc_g11262","","protein binding","",1908
"11759","Sc_g11263: uncharacterized protein LOC112292006 isoform X2","Sc_g11263","","protein binding","",1227
"11760","Sc_g11264: polynucleotide 5'-hydroxyl-kinase NOL9","Sc_g11264","","nucleotide binding, ATP binding, kinase activity"," phosphorylation",1445
"11761","Sc_g11265: FAD synthetase 2, chloroplastic-like","Sc_g11265"," plastid","FMN adenylyltransferase activity"," riboflavin biosynthetic process",807
"11762","Sc_g11266: linoleate 9S-lipoxygenase-like","Sc_g11266","","protein binding, oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen, metal ion binding"," lipid metabolic process, oxidation-reduction process",1032
"11763","Sc_g11267: Pleckstrin domain-containing family M member 3","Sc_g11267","","phosphatidylinositol binding","",3256
"11764","Sc_g11268: xyloglucan endotransglucosylase/hydrolase protein 9-like","Sc_g11268","","hydrolase activity, hydrolyzing O-glycosyl compounds, xyloglucan:xyloglucosyl transferase activity"," xyloglucan metabolic process, cell wall biogenesis",873
"11765","Sc_g11269: plasma membrane ATPase 1","Sc_g11269"," plasma membrane, membrane, integral component of membrane","nucleotide binding, ATP binding, proton-exporting ATPase activity, phosphorylative mechanism, hydrolase activity, metal ion binding"," ion transport, proton export across plasma membrane",860
"11766","Sc_g11270: serine/threonine-protein kinase prpf4B","Sc_g11270"," nucleus, integral component of membrane","protein kinase activity, ATP binding"," protein phosphorylation",2364
"11767","Sc_g11271: RNA-directed DNA polymerase like","Sc_g11271","","nucleic acid binding, RNA-directed DNA polymerase activity, aspartic-type endopeptidase activity, zinc ion binding"," RNA-dependent DNA biosynthetic process, proteolysis",378
"11768","Sc_g11272: lipid phosphate phosphatase gamma, chloroplastic","Sc_g11272"," integral component of membrane, intracellular membrane-bounded organelle, cytoplasmic part"," hydrolase activity","lipid biosynthetic process, cellular biosynthetic process",525
"11769","Sc_g11273: peroxidase 40","Sc_g11273","","peroxidase activity, protein binding, heme binding"," response to oxidative stress, hydrogen peroxide catabolic process, oxidation-reduction process",2337
"11770","Sc_g11274: hypothetical protein PHYPA_019533","Sc_g11274","","","",276
"11771","Sc_g11275: Subtilisin inhibitor 1","Sc_g11275","","serine-type endopeptidase inhibitor activity"," response to wounding, negative regulation of endopeptidase activity",399
"11772","Sc_g11276: hypothetical protein PHYPA_021524","Sc_g11276","","","",453
"11773","Sc_g11277: proteasome activator subunit 4","Sc_g11277"," intracellular part"," peptidase activator activity, lysine-acetylated histone binding, proteasome binding","positive regulation of peptidase activity",5469
"11774","Sc_g11278: dynamin-related protein 4C-like","Sc_g11278","","GTPase activity, GTP binding","",1611
"11775","Sc_g11279: dynamin-related protein 4C-like","Sc_g11279","","GTPase activity, GTP binding","",1977
"11776","Sc_g11280: uncharacterized protein LOC112286248","Sc_g11280","","","",1143
"11777","Sc_g11281: branchpoint-bridging protein","Sc_g11281","","RNA binding, zinc ion binding","",1533
"11778","Sc_g11282: AIG2-like protein D","Sc_g11282","","","",852
"11779","Sc_g11283: kinesin-like protein KIN-7O isoform X1","Sc_g11283","","microtubule motor activity, ATP binding, microtubule binding"," microtubule-based movement",7809
"11780","Sc_g11284: 26S proteasome non-ATPase regulatory subunit 10","Sc_g11284"," cell part","protein binding","",723
"11781","Sc_g11285: F-box/kelch-repeat protein At5g15710-like","Sc_g11285","","protein binding","",1092
"11782","Sc_g11286: beta-arabinofuranosyltransferase ray1","Sc_g11286","membrane","","",1737
"11783","Sc_g11287: uncharacterized protein At5g39570-like","Sc_g11287","","phosphatidic acid binding","",1146
"11784","Sc_g11288: molybdenum cofactor sulfurase-like","Sc_g11288","","catalytic activity","",2268
"11785","Sc_g11289: protein CHROMATIN REMODELING 8 isoform X1","Sc_g11289","","ATP binding","",3804
"11786","Sc_g11290: hypothetical protein PHYPA_016582","Sc_g11290","","","",483
"11787","Sc_g11291: uncharacterized protein LOC112292006 isoform X2","Sc_g11291","","protein binding","",2183
"11788","Sc_g11292: chalcone synthase-like","Sc_g11292",""," naringenin-chalcone synthase activity","biosynthetic process",1290
"11789","Sc_g11293: uncharacterized protein LOC112292006 isoform X2","Sc_g11293","","protein binding","",1074
"11790","Sc_g11294: pentatricopeptide repeat-containing protein At5g64320, mitochondrial","Sc_g11294","","protein binding","",3212
"11791","Sc_g11295: xyloglucan endotransglucosylase/hydrolase protein 9-like","Sc_g11295","","hydrolase activity, hydrolyzing O-glycosyl compounds, xyloglucan:xyloglucosyl transferase activity"," xyloglucan metabolic process, cell wall biogenesis",852
"11792","Sc_g11296: xyloglucan endotransglucosylase/hydrolase protein 9-like","Sc_g11296"," cell wall, apoplast","hydrolase activity, hydrolyzing O-glycosyl compounds, xyloglucan:xyloglucosyl transferase activity"," xyloglucan metabolic process, cell wall biogenesis",852
"11793","Sc_g11297: xyloglucan endotransglucosylase/hydrolase protein 9-like","Sc_g11297","","hydrolase activity, hydrolyzing O-glycosyl compounds, xyloglucan:xyloglucosyl transferase activity"," xyloglucan metabolic process, cell wall biogenesis",966
"11794","Sc_g11298: diacylglycerol kinase 3-like","Sc_g11298","","NAD+ kinase activity, diacylglycerol kinase activity"," protein kinase C-activating G protein-coupled receptor signaling pathway",3007
"11795","Sc_g11299: nucleoside diphosphate kinase 3-like","Sc_g11299","","nucleoside diphosphate kinase activity, ATP binding"," nucleoside diphosphate phosphorylation, GTP biosynthetic process, UTP biosynthetic process, CTP biosynthetic process",306
"11796","Sc_g11300: hyphally regulated cell wall protein 3-like","Sc_g11300","","","",1186
"11797","Sc_g11301: histone acetyltransferase type B catalytic subunit","Sc_g11301","nuclear chromatin"," H4 histone acetyltransferase activity, histone binding"," chromatin silencing at telomere, histone H4 acetylation",1776
"11798","Sc_g11302: enhancer of rudimentary homolog","Sc_g11302","","","pyrimidine nucleotide biosynthetic process, cell cycle, positive regulation of Notch signaling pathway",733
"11799","Sc_g11303: probable chlorophyll(ide) b reductase NYC1, chloroplastic","Sc_g11303","plastid, integral component of membrane"," chlorophyll(ide) b reductase activity"," PSII associated light-harvesting complex II catabolic process, chlorophyll catabolic process, oxidation-reduction process",1692
"11800","Sc_g11304: transcription repressor OFP8-like","Sc_g11304","","","negative regulation of transcription, DNA-templated",3312
"11801","Sc_g11304: ---NA---","Sc_g11304","","","",473
"11802","Sc_g11305: biotin--protein ligase 2-like isoform X1","Sc_g11305","","biotin-[acetyl-CoA-carboxylase] ligase activity"," cellular protein modification process",1825
"11803","Sc_g11306: hypothetical protein PHYPA_010853","Sc_g11306","","","",453
"11804","Sc_g11307: probable plastidic glucose transporter 1","Sc_g11307","integral component of membrane"," transmembrane transporter activity"," transmembrane transport",1901
"11805","Sc_g11308: uncharacterized aarF domain-containing protein kinase At1g71810, chloroplastic isoform X2","Sc_g11308"," chloroplast, plastoglobule","protein kinase activity, ATP binding, kinase activity"," protein phosphorylation, phosphorylation",2237
"11806","Sc_g11309: putative lrr receptor-like serine/threonine-protein kinase","Sc_g11309"," integral component of membrane","protein kinase activity, ATP binding"," protein phosphorylation",993
"11807","Sc_g11310: ankyrin-1-like","Sc_g11310"," membrane, integral component of membrane","protein kinase activity, ATP binding"," protein phosphorylation",2392
"11808","Sc_g11311: Threonine dehydratase biosynthetic, chloroplastic","Sc_g11311",""," lyase activity","branched-chain amino acid biosynthetic process",669
"11809","Sc_g11312: threonine dehydratase biosynthetic, chloroplastic","Sc_g11312","","L-threonine ammonia-lyase activity, pyridoxal phosphate binding"," isoleucine biosynthetic process",2760
"11810","Sc_g11313: CST complex subunit CTC1 isoform X3","Sc_g11313","","","telomere maintenance",4341
"11811","Sc_g11314: myosin-1-like","Sc_g11314"," myosin complex","motor activity, ATP binding, actin filament binding","",4107
"11812","Sc_g11315: peroxisomal nicotinamide adenine dinucleotide carrier isoform X1","Sc_g11315","membrane"," transmembrane transporter activity","",711
"11813","Sc_g11316: transcription factor GAMYB-like","Sc_g11316","nucleus"," sequence-specific DNA binding, transcription regulatory region DNA binding"," regulation of stomatal movement, cell differentiation",1699
"11814","Sc_g11317: zeta-carotene desaturase, chloroplastic/chromoplastic","Sc_g11317","chromoplast, chloroplast envelope"," carotene 7,8-desaturase activity, 9,9'-dicis-carotene:quinone oxidoreductase activity, 7,9,9'-tricis-neurosporene:quinone oxidoreductase activity"," carotenoid biosynthetic process, 9,9'-di-cis-zeta-carotene desaturation to 7,9,7',9'-tetra-cis-lycopene, oxidation-reduction process, lycopene biosynthetic process",2322
"11815","Sc_g11318: FAD FMN-containing dehydrogenase","Sc_g11318"," membrane","D-arabinono-1,4-lactone oxidase activity, FAD binding"," oxidation-reduction process",2770
"11816","Sc_g11319: putative 12-oxophytodienoate reductase 11","Sc_g11319","","FMN binding, oxidoreductase activity"," oxidation-reduction process",570
"11817","Sc_g11320: transcriptional coactivator YAP1-like","Sc_g11320","","protein binding","",1424
"11818","Sc_g11320: transcriptional coactivator YAP1-like","Sc_g11320","","protein binding","",1479
"11819","Sc_g11321: coronatine-insensitive protein 1","Sc_g11321","","","ubiquitin-dependent protein catabolic process",1794
"11820","Sc_g11322: CBL-interacting serine/threonine-protein kinase 24","Sc_g11322"," nucleus, cytoplasm","protein serine/threonine kinase activity, ATP binding"," protein phosphorylation, intracellular signal transduction",1410
"11821","Sc_g11323: ribosomal protein S18","Sc_g11323"," ribosome","structural constituent of ribosome"," translation",705
"11822","Sc_g11324: Peroxidase 1","Sc_g11324"," plant-type cell wall, plasmodesma","peroxidase activity, heme binding"," response to oxidative stress, cellular process, oxidation-reduction process",363
"11823","Sc_g11325: peroxidase 5-like","Sc_g11325"," extracellular region, plant-type cell wall, plasmodesma","peroxidase activity, heme binding, metal ion binding"," response to oxidative stress, hydrogen peroxide catabolic process, oxidation-reduction process, cellular oxidant detoxification",1232
"11824","Sc_g11326: phosphatidylinositol glycan anchor biosynthesis class U protein-like isoform X2","Sc_g11326"," GPI-anchor transamidase complex","","attachment of GPI anchor to protein",1822
"11825","Sc_g11327: 2-carboxy-1,4-naphthoquinone phytyltransferase, chloroplastic","Sc_g11327"," chloroplast, integral component of membrane","prenyltransferase activity"," photosynthetic electron transport in photosystem II, plastoquinone biosynthetic process, phylloquinone biosynthetic process",1689
"11826","Sc_g11328: uncharacterized protein LOC112292864","Sc_g11328","","","",306
"11827","Sc_g11329: probable ADP-ribosylation factor GTPase-activating protein AGD15","Sc_g11329","","GTPase activator activity, metal ion binding"," positive regulation of GTPase activity",642
"11828","Sc_g11330: probable starch synthase 4, chloroplastic/amyloplastic isoform X1","Sc_g11330"," amyloplast, chloroplast","glycogen (starch) synthase activity"," starch biosynthetic process",2387
"11829","Sc_g11331: probable ran guanine nucleotide release factor","Sc_g11331","","","",606
"11830","Sc_g11332: protein ABHD13-like","Sc_g11332","endoplasmic reticulum, plasma membrane, integral component of membrane, organelle inner membrane"," serine-type peptidase activity"," proteolysis, root development",1380
"11831","Sc_g11333: uncharacterized protein LOC112293947","Sc_g11333"," cytoplasm","RNA binding, translation initiation factor activity"," translation, translational initiation",2484
"11832","Sc_g11334: elongation of fatty acids protein 3-like","Sc_g11334"," integral component of endoplasmic reticulum membrane","fatty acid elongase activity"," fatty acid elongation, saturated fatty acid, sphingolipid biosynthetic process, fatty acid elongation, monounsaturated fatty acid, fatty acid elongation, polyunsaturated fatty acid, very long-chain fatty acid biosynthetic process",879
"11833","Sc_g11335: aldehyde oxidase GLOX-like","Sc_g11335","membrane, integral component of membrane","","",1542
"11834","Sc_g11336: lysosomal beta glucosidase-like","Sc_g11336","","beta-glucosidase activity"," glucan catabolic process",1839
"11835","Sc_g11337: expansin-A11-like","Sc_g11337","extracellular region, cell wall, membrane",""," plant-type cell wall organization",783
"11836","Sc_g11338: coproporphyrinogen III oxidase","Sc_g11338"," cytoplasm","coproporphyrinogen oxidase activity"," porphyrin-containing compound biosynthetic process, oxidation-reduction process",1152
"11837","Sc_g11339: trihelix transcription factor ASR3-like","Sc_g11339","","DNA binding","",990
"11838","Sc_g11340: putative lipase YOR059C","Sc_g11340","","","",1788
"11839","Sc_g11341: galactan beta-1,4-galactosyltransferase GALS1-like","Sc_g11341","membrane, integral component of membrane","","",1866
"11840","Sc_g11342: Stigma-specific protein Stig1","Sc_g11342","membrane, integral component of membrane","","",1284
"11841","Sc_g11343: hypothetical protein PHYPA_018268","Sc_g11343","","","",153
"11842","Sc_g11344: protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha","Sc_g11344"," CAAX-protein geranylgeranyltransferase complex, protein farnesyltransferase complex","protein farnesyltransferase activity, CAAX-protein geranylgeranyltransferase activity"," regulation of cell shape, response to water deprivation, negative regulation of abscisic acid-activated signaling pathway, protein farnesylation, protein geranylgeranylation, regulation of meristem development",1178
"11843","Sc_g11345: protein VACUOLELESS1","Sc_g11345"," endosome, HOPS complex","actin binding"," intracellular protein transport, endosomal transport, regulation of vacuole fusion, non-autophagic, regulation of SNARE complex assembly",2865
"11844","Sc_g11346: protein MON2 homolog isoform X1","Sc_g11346","","","",5265
"11845","Sc_g11347: cysteine proteinase inhibitor 6-like","Sc_g11347","","cysteine-type endopeptidase inhibitor activity"," response to stress, negative regulation of endopeptidase activity",964
"11846","Sc_g11348: E3 ubiquitin-protein ligase UPL5-like","Sc_g11348","","ubiquitin-protein transferase activity, protein binding"," protein ubiquitination, response to oxygen-containing compound",2427
"11847","Sc_g11349: queuine tRNA-ribosyltransferase accessory subunit 2-like isoform X1","Sc_g11349","cytoplasm"," queuine tRNA-ribosyltransferase activity, metal ion binding"," tRNA-guanine transglycosylation",1215
"11848","Sc_g11350: uncharacterized protein LOC112289428","Sc_g11350","integral component of membrane","","",1410
"11849","Sc_g11351: trihelix transcription factor ASR3-like","Sc_g11351","","DNA binding","",921
"11850","Sc_g11352: splicing factor, arginine/serine-rich 19-like","Sc_g11352","","","",1254
"11851","Sc_g11353: cytochrome c oxidase subunit 5C-like","Sc_g11353","mitochondrial respirasome","","",408
"11852","Sc_g11354: cytochrome c oxidase subunit 5C-2","Sc_g11354","mitochondrial respirasome","","",492
"11853","Sc_g11355: LOB domain-containing protein 4-like","Sc_g11355","","","",570
"11854","Sc_g11356: elongator complex protein 4","Sc_g11356"," Elongator holoenzyme complex","","tRNA wobble uridine modification, regulation of cellular process, response to stimulus, regulation of primary metabolic process",1191
"11855","Sc_g11357: uracil phosphoribosyltransferase","Sc_g11357"," cytosol, chloroplast stroma","uracil phosphoribosyltransferase activity, GTP binding"," uracil salvage, nucleoside metabolic process, cellular response to phosphate starvation, developmental process, UMP salvage",642
"11856","Sc_g11358: 6-phosphogluconate dehydrogenase, decarboxylating 3","Sc_g11358","","phosphogluconate dehydrogenase (decarboxylating) activity, NADP binding"," pentose-phosphate shunt, D-gluconate metabolic process, oxidation-reduction process",984
"11857","Sc_g11359: auxin-binding protein 1","Sc_g11359","","auxin binding","",606
"11858","Sc_g11360: transcription termination factor MTERF5, chloroplastic-like isoform X1","Sc_g11360","","double-stranded DNA binding"," regulation of transcription, DNA-templated",1940
"11859","Sc_g11361: armadillo repeat-containing protein 6","Sc_g11361","","protein binding","",1698
"11860","Sc_g11362: uncharacterized protein LOC112293247 isoform X1","Sc_g11362","","protein binding","",2304
"11861","Sc_g11363: vacuolar protein sorting-associated protein 24 homolog 1-like","Sc_g11363","ESCRT III complex, multivesicular body",""," septum digestion after cytokinesis, protein transport, endosome transport via multivesicular body sorting pathway, late endosome to vacuole transport",1083
"11862","Sc_g11364: exocyst complex component SEC10-like","Sc_g11364","cytoplasm",""," exocytosis, vesicle docking",6585
"11863","Sc_g11365: FAD FMN-containing dehydrogenase","Sc_g11365"," membrane","D-arabinono-1,4-lactone oxidase activity"," oxidation-reduction process",999
"11864","Sc_g11366: probable methyltransferase PMT23","Sc_g11366"," integral component of membrane","methyltransferase activity"," methylation",2410
"11865","Sc_g11367: cytochrome P450 94A2","Sc_g11367","","iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding"," oxidation-reduction process",1476
"11866","Sc_g11368: coatomer subunit zeta-2-like","Sc_g11368"," COPI vesicle coat","","intracellular protein transport, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, intra-Golgi vesicle-mediated transport",300
"11867","Sc_g11369: transmembrane protein 205-like","Sc_g11369","endoplasmic reticulum, membrane, integral component of membrane","","",2825
"11868","Sc_g11370: probable E3 ubiquitin-protein ligase LUL2","Sc_g11370","integral component of membrane","","",1848
"11869","Sc_g11371: mitochondrial thiamine diphosphate carrier 2-like","Sc_g11371"," integral component of mitochondrial inner membrane","thiamine transmembrane transporter activity"," thiamine pyrophosphate transmembrane transport, thiamine transmembrane transport",1156
"11870","Sc_g11372: casein kinase 1-like protein HD16 isoform X1","Sc_g11372","","kinase activity"," phosphorylation",1653
"11871","Sc_g11373: protein-tyrosine-phosphatase IBR5","Sc_g11373","","protein tyrosine phosphatase activity, protein tyrosine/serine/threonine phosphatase activity"," peptidyl-tyrosine dephosphorylation, regulation of biological process",885
"11872","Sc_g11374: gamma carbonic anhydrase-like 2, mitochondrial","Sc_g11374","","","",726
"11873","Sc_g11375: mevalonate kinase","Sc_g11375"," cytoplasm","ATP binding, kinase activity"," steroid biosynthetic process, phosphate-containing compound metabolic process, isoprenoid biosynthetic process",1733
"11874","Sc_g11376: cytochrome b-c1 complex subunit 8-like","Sc_g11376","mitochondrial inner membrane, integral component of membrane, respirasome"," ubiquinol-cytochrome-c reductase activity"," electron transport chain",467
"11875","Sc_g11377: RING-H2 finger protein ATL11-like","Sc_g11377"," membrane, integral component of membrane"," ligase activity, ubiquitin protein ligase binding, ubiquitin protein ligase activity","ubiquitin-dependent protein catabolic process, protein ubiquitination",921
"11876","Sc_g11378: transcription factor bHLH130-like isoform X1","Sc_g11378","","protein dimerization activity","",1851
"11877","Sc_g11379: Alpha/beta hydrolase fold","Sc_g11379","membrane, integral component of membrane"," hydrolase activity","",1362
"11878","Sc_g11380: triacylglycerol lipase 1","Sc_g11380",""," hydrolase activity, acting on ester bonds","lipid catabolic process",1465
"11879","Sc_g11381: nodulin homeobox-like isoform X2","Sc_g11381"," nucleus, integral component of membrane","single-stranded DNA binding"," flower development",3644
"11880","Sc_g11382: light-inducible protein CPRF2","Sc_g11382","","DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",1967
"11881","Sc_g11383: cinnamyl alcohol dehydrogenase","Sc_g11383","","catalytic activity, coenzyme binding","",861
"11882","Sc_g11384: cinnamoyl-CoA reductase 1-like","Sc_g11384","","oxidoreductase activity, coenzyme binding","",1418
"11883","Sc_g11385: DERLIN-1","Sc_g11385","endoplasmic reticulum membrane, integral component of membrane","","",1048
"11884","Sc_g11386: scarecrow-like protein 9","Sc_g11386","membrane, integral component of membrane","","",4559
"11885","Sc_g11386: scarecrow-like protein 9","Sc_g11386","membrane, integral component of membrane","","",2271
"11886","Sc_g11386: scarecrow-like protein 30","Sc_g11386","membrane, integral component of membrane","","",2750
"11887","Sc_g11387: tafazzin-like isoform X2","Sc_g11387",""," transferase activity, transferring acyl groups","phospholipid metabolic process",2012
"11888","Sc_g11388: DNA-directed RNA polymerase II subunit RPB2","Sc_g11388","","DNA binding, DNA-directed 5'-3' RNA polymerase activity, ribonucleoside binding"," transcription, DNA-templated",4230
"11889","Sc_g11389: exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase","Sc_g11389"," integral component of membrane","exopolyphosphatase activity","",2200
"11890","Sc_g11390: early nodulin-93-like","Sc_g11390","membrane","","",775
"11891","Sc_g11391: hybrid signal transduction histidine kinase M-like protein","Sc_g11391","","DNA binding, kinase activity"," phosphorylation",1566
"11892","Sc_g11392: predicted protein","Sc_g11392","plasma membrane, membrane, integral component of membrane","","",726
"11893","Sc_g11393: pre-mRNA-splicing factor SPF27 homolog","Sc_g11393","Prp19 complex, nucleolus",""," mRNA processing, defense response signaling pathway, resistance gene-dependent, defense response signaling pathway, resistance gene-independent, defense response to bacterium, defense response to fungus",926
"11894","Sc_g11394: ---NA---","Sc_g11394","","","",2673
"11895","Sc_g11395: transcription factor FAMA-like isoform X1","Sc_g11395","","protein dimerization activity","",1071
"11896","Sc_g11396: rho GTPase-activating protein 7","Sc_g11396","","GTPase activator activity"," signal transduction, positive regulation of GTPase activity",3465
"11897","Sc_g11397: 50S ribosomal protein L24, chloroplastic","Sc_g11397"," ribosome, chloroplast part","RNA binding, structural constituent of ribosome"," translation",786
"11898","Sc_g11398: GATA zinc finger domain-containing protein C1393.08 isoform 1","Sc_g11398","","","",2193
"11899","Sc_g11399: GBF-interacting protein 1-like isoform X2","Sc_g11399","","protein binding","",2316
"11900","Sc_g11400: probable peroxygenase 3","Sc_g11400"," vacuole, monolayer-surrounded lipid storage body, chloroplast membrane","calcium ion binding, plant seed peroxidase activity"," response to desiccation, response to cold, response to salt stress, response to abscisic acid, response to salicylic acid, stomatal movement, oxylipin metabolic process, defense response to fungus, (R)-2-hydroxy-alpha-linolenic acid biosynthetic process, regulation of reactive oxygen species metabolic process",732
"11901","Sc_g11401: uncharacterized mitochondrial carrier C8C9.12c","Sc_g11401","integral component of membrane"," transmembrane transporter activity"," transmembrane transport",1671
"11902","Sc_g11402: probable polyamine oxidase 2","Sc_g11402","peroxisome"," polyamine oxidase activity"," polyamine catabolic process, oxidation-reduction process",2552
"11903","Sc_g11402: probable polyamine oxidase 2","Sc_g11402","peroxisome"," polyamine oxidase activity"," polyamine catabolic process, oxidation-reduction process",2412
"11904","Sc_g11403: hypothetical protein PHYPA_016582","Sc_g11403","","","",408
"11905","Sc_g11404: hypothetical protein PHYPA_007516","Sc_g11404","kinetochore"," centromeric DNA binding"," kinetochore assembly",2016
"11906","Sc_g11405: SDD1 protein","Sc_g11405","","serine-type endopeptidase activity"," proteolysis",912
"11907","Sc_g11406: subtilisin-like protease SBT1.7","Sc_g11406","","serine-type endopeptidase activity"," proteolysis",378
"11908","Sc_g11407: casein kinase 1-like protein HD16","Sc_g11407",""," protein kinase activity, ATP binding","regulation of protein phosphorylation, negative regulation of abscisic acid-activated signaling pathway",2335
"11909","Sc_g11407: casein kinase 1-like protein HD16","Sc_g11407",""," protein kinase activity, ATP binding","regulation of protein phosphorylation, negative regulation of abscisic acid-activated signaling pathway",2500
"11910","Sc_g11408: protein-tyrosine-phosphatase IBR5-like","Sc_g11408","","protein tyrosine phosphatase activity, protein tyrosine/serine/threonine phosphatase activity"," peptidyl-tyrosine dephosphorylation, regulation of cellular process",891
"11911","Sc_g11409: GBF-interacting protein 1-like isoform X2","Sc_g11409","","protein binding","",666
"11912","Sc_g11410: Golgi apparatus membrane protein TVP15","Sc_g11410","integral component of membrane","","",396
"11913","Sc_g11411: GBF-interacting protein 1-like","Sc_g11411","","mRNA binding","",1353
"11914","Sc_g11412: putative 28S ribosomal protein S34","Sc_g11412"," mitochondrion","structural constituent of ribosome","",438
"11915","Sc_g11413: light-sensor Protein kinase-like isoform X1","Sc_g11413"," membrane","protein kinase activity, ATP binding"," protein phosphorylation, regulation of cellular process, response to stimulus",5080
"11916","Sc_g11414: uncharacterized protein LOC112286423","Sc_g11414","","","",237
"11917","Sc_g11415: hypothetical protein PHYPA_012489","Sc_g11415","","","",1047
"11918","Sc_g11416: AP-1 complex subunit gamma-2 isoform X1","Sc_g11416"," AP-1 adaptor complex","","intracellular protein transport, vesicle-mediated transport",3303
"11919","Sc_g11417: auxin transporter-like protein 3","Sc_g11417","membrane","","",936
"11920","Sc_g11418: AP-1 complex subunit gamma-2-like isoform X1","Sc_g11418","membrane, cytoplasmic part","","",315
"11921","Sc_g11419: ---NA---","Sc_g11419","","","",288
"11922","Sc_g11420: auxin transporter-like protein 2","Sc_g11420","membrane","","",594
"11923","Sc_g11421: auxin transporter-like protein 4","Sc_g11421"," integral component of membrane"," amino acid transmembrane transporter activity","amino acid transmembrane transport",2031
"11924","Sc_g11422: F-box/kelch-repeat protein At5g15710-like","Sc_g11422","","protein binding","",1254
"11925","Sc_g11423: hydroxymethylglutaryl-CoA lyase, mitochondrial isoform X1","Sc_g11423"," mitochondrion","hydroxymethylglutaryl-CoA lyase activity"," ketone body biosynthetic process",921
"11926","Sc_g11424: peptidyl-prolyl cis-trans isomerase CYP38, chloroplastic","Sc_g11424",""," peptidyl-prolyl cis-trans isomerase activity","protein peptidyl-prolyl isomerization",1494
"11927","Sc_g11425: nuclear pore complex protein NUP50A-like","Sc_g11425"," nuclear pore, centrosome, cytosol","GTPase activator activity, Ran GTPase binding"," intracellular transport",2007
"11928","Sc_g11426: ---NA---","Sc_g11426","","","",129
"11929","Sc_g11427: WRKY transcription factor WRKY24","Sc_g11427"," nucleus","DNA-binding transcription factor activity, sequence-specific DNA binding"," regulation of transcription, DNA-templated",495
"11930","Sc_g11428: rhomboid-like protein 14, mitochondrial","Sc_g11428"," integral component of membrane, endoplasmic reticulum part","serine-type endopeptidase activity"," response to organic substance, cellular response to stress, membrane protein proteolysis, cellular protein metabolic process, positive regulation of biological process",984
"11931","Sc_g11429: alpha-glucosidase 2","Sc_g11429","","hydrolase activity, hydrolyzing O-glycosyl compounds, carbohydrate binding"," carbohydrate metabolic process",3036
"11932","Sc_g11430: uncharacterized protein LOC112294457 isoform X1","Sc_g11430","","metal ion binding","",2505
"11933","Sc_g11431: L-type lectin-domain containing receptor kinase 1","Sc_g11431"," integral component of membrane","protein kinase activity, ATP binding, carbohydrate binding"," protein phosphorylation",1044
"11934","Sc_g11432: probable L-type lectin-domain containing receptor kinase S.7","Sc_g11432","membrane"," kinase activity, carbohydrate binding"," phosphorylation",924
"11935","Sc_g11433: aldehyde oxidase GLOX-like","Sc_g11433","","","",1293
"11936","Sc_g11434: peptidyl-prolyl cis-trans isomerase CYP71 isoform X1","Sc_g11434"," nucleus"," chromatin binding, peptidyl-prolyl cis-trans isomerase activity, histone binding","protein peptidyl-prolyl isomerization, protein folding, regulation of flower development, meristem structural organization, regulation of root meristem growth, leaf vascular tissue pattern formation, leaf formation, leaf shaping, regulation of histone methylation, carpel development, stamen development, sepal formation",2467
"11937","Sc_g11435: F-box/kelch-repeat protein At5g15710-like","Sc_g11435","","protein binding","",1188
"11938","Sc_g11436: uncharacterized protein LOC112278377 isoform X3","Sc_g11436","","","",314
"11939","Sc_g11437: origin of replication complex subunit 4 isoform X1","Sc_g11437"," nuclear origin of replication recognition complex","DNA replication origin binding"," DNA replication initiation, response to sucrose",1071
"11940","Sc_g11438: uncharacterized protein LOC112292302","Sc_g11438","","protein binding","",996
